date, pm25, pm10, o3, no2, so2, co
2023-09-23,42,26,38,9,5,4
2023-09-24,45,32,36,19,7,8
2023-09-25,51,21,28,22,3,4
2023-09-26,55,21,34,13,2,4
2023-09-27,45,25,44,7,1,3
2023-09-28,52,48,54,11,3,6
2023-09-29,94,28,40,7,1,4
2023-09-30,61,36,40,6,2,4
2023-04-01,120,41,43,18,4,6
2023-04-02,73,36,42,14,3,4
2023-04-03,60,42,39,21,4,4
2023-04-04,64,27,28,20,6,6
2023-04-05,58,21,35,12,2,5
2023-04-06,57,59,48,12,3,5
2023-04-07,109,46,39,9,3,3
2023-04-08,49,50,41,8,3,3
2023-04-09,47,52,44,14,2,4
2023-04-10,61,48,37,13,5,3
2023-04-11,51,176,40,9,2,4
2023-04-12,103,103,40,15,4,4
2023-04-13,83,74,34,21,4,5
2023-04-14,82,51,35,19,4,6
2023-04-15,95,60,38,13,2,5
2023-04-16,87,74,46,15,2,5
2023-04-17,93,70,28,27,3,5
2023-04-18,106,49,42,19,4,5
2023-04-19,92,47,42,16,3,6
2023-04-20,83,200,39,19,5,10
2023-04-21,111,171,40,16,3,4
2023-04-22,124,56,41,11,3,4
2023-04-23,67,46,40,13,3,5
2023-04-24,58,35,36,20,3,4
2023-04-25,66,40,44,12,3,4
2023-04-26,73,42,49,16,4,5
2023-04-27,74,35,48,14,3,4
2023-04-28,61,31,41,11,3,6
2023-04-29,58,45,46,7,2,4
2023-04-30,60,49,48,8,2,4
2023-05-01,70,45,52,18,4,5
2023-05-02,72,47,52,17,3,5
2023-05-03,69,34,48,15,3,2
2023-05-04,63,17,33,13,6,5
2023-05-05,25,32,39,30,9,19
2023-05-06,48,45,36,25,9,10
2023-05-07,89,41,44,16,6,5
2023-05-08,63,43,58,15,4,6
2023-05-09,74,57,54,20,6,7
2023-05-10,73,46,43,13,6,7
2023-05-11,66,39,49,17,4,4
2023-05-12,62,32,46,12,4,3
2023-05-13,65,38,69,11,4,6
2023-05-14,72,46,68,15,4,5
2023-05-15,81,56,90,15,3,7
2023-05-16,93,56,60,13,3,4
2023-05-17,84,47,50,17,4,6
2023-05-18,79,34,40,21,6,10
2023-05-19,57,23,37,12,6,6
2023-05-20,39,31,50,8,2,4
2023-05-21,50,93,33,10,6,5
2023-05-22,79,55,32,10,5,6
2023-05-23,49,19,34,11,3,4
