date, pm25, pm10, o3, no2, so2, co
2023/4/28, 59, 22, 42, 14, 2, 3
2023/4/29, 43, 34, 53, 10, 3, 3
2023/4/30, 50, 40, 52, 17, 3, 3
2023/5/1, 59, 35, 57, 35, 3, 3
2023/5/2, 63, 35, 53, 31, 4, 3
2023/5/3, 71, 25, 44, 14, 4, 3
2023/5/4, 47, 23, 39, 6, 2, 3
2023/5/5, 37, 9, 40, 14, 2, 4
2023/5/6, 21, 28, 41, 12, 1, 3
2023/5/7, 70, 24, 50, 18, 2, 3
2023/5/8, 58, 34, 71, 38, 4, 4
2023/5/9, 76, 46, 83, 40, 3, 4
2023/5/10, 87, 38, 64, 32, 3, 3
2023/5/11, 79, 33, 56, 34, 5, 3
2023/5/12, 62, 16, 43, 18, 3, 3
2023/5/13, 40, 27, 71, 17, 3, 4
2023/5/14, 69, 42, 72, 31, 4, 4
2023/5/15, 91, 51, 83, 37, 4, 4
2023/5/16, 116, 42, 60, 27, 3, 4
2023/5/17, 85, 32, 41, 25, 2, 3
2023/5/18, 77, 15, 44, 18, 1, 3
2023/5/19, 33, 27, 61, 19, 3, 3
2023/5/20, 59, 28, 69, 17, 3, 4
2023/5/21, 66, 81, 35, 21, 3, 2
2023/5/22, 86, 71, 45, 24, 3, 3
2023/5/23, 74, 42, 55, 34, 4, 4
2023/5/24, 64, 22, 40, 28, 3, 3
2023/5/25, 42, 26, 35, 26, 3, 3
2023/5/26, 46, 28, 35, 19, 5, 3
2023/5/27, 48, 17, 26, 17, 3, 2
2023/5/28, 38, 7, 28, 15, 3, 3
2023/5/29, 16, 17, 38, 19, 2, 3
2023/5/30, 47, 20, 58, 20, 4, 2
2023/5/31, 44, 24, 23, 32, 4, 4
2023/6/1, 58, 23, 68, 22, 4, 4
2023/6/2, 59, 38, 77, 23, 4, 4
2023/6/3, 81, 26, 63, 19, 4, 5
2023/6/4, 63, 30, 61, 32, 4, 5
2023/6/5, 66, 24, 63, 22, 4, 5
2023/6/6, 61, 31, 75, 27, 4, 5
2023/6/7, 70, 23, 50, 24, 4, 3
2023/6/8, 57, 29, 72, 26, 3, 3
2023/6/9, 72, 28, 49, 19, 3, 3
2023/6/10, 67, 22, 47, 14, 3, 3
2023/6/11, 61, 19, 35, 21, 4, 2
2023/6/12, 51, 25, 41, 24, 4, 3
2023/6/13, 65, 31, 72, 25, 4, 3
2023/6/14, 78, 30, 87, 20, 3, 4
2023/6/15, 74, 38, 81, 25, 3, 5
2023/6/16, 94, 30, 87, 22, 5, 6
2023/6/17, 76, 32, 98, 19, 4, 4
2023/6/18, 79, 34, 75, 22, 4, 4
2023/6/19, 79, 24, 49, 21, 4, 3
2023/6/20, 45, 16, 36, 22, 3, 3
2023/6/21, 41, 22, 47, 21, 4, 4
2023/6/22, 58, 21, 58, 20, 3, 3
2023/6/23, 49, 20, 66, 22, 5, 3
2023/6/24, 52, 20, 38, 16, 5, 2
2023/6/25, 41, 12, 22, 14, 3, 2
2023/6/26, 26, 12, 34, 11, 3, 3
2023/6/27, 29, 14, 40, 28, 4, 3
2023/6/28, 32, 19, 27, 18, 3, 3
2023/6/29, 41, 12, 29, 20, 3, 3
2023/6/30, 29, 31, 67, 22, 3, 6
2023/1/2, 39, 20, 29, 20, 5, 4
2023/1/3, 50, 26, 29, 30, 4, 4
2023/1/4, 64, 59, 36, 46, 7, 7
2023/1/5, 122, 73, 33, 48, 6, 8
2023/1/6, 150, 77, 35, 26, 5, 7
2023/1/7, 137, 56, 30, 27, 4, 4
2023/1/8, 103, 63, 38, 42, 6, 8
2023/1/9, 109, 52, 25, 36, 4, 4
2023/1/10, 94, 40, 27, 51, 5, 5
2023/1/11, 78, 43, 26, 53, 6, 6
2023/1/12, 92, 19, 23, 26, 5, 6
2023/1/13, 48, 19, 34, 20, 3, 8
2023/1/14, 53, 14, 28, 10, 2, 5
2023/1/15, 37, 23, 28, 13, 3, 4
2023/1/16, 50, 24, 26, 20, 3, 4
2023/1/17, 54, 41, 31, 25, 3, 4
2023/1/18, 82, 50, 32, 34, 4, 4
2023/1/19, 78, 55, 32, 28, 9, 4
2023/1/20, 72, 17, 29, 16, 2, 3
2023/1/21, 33, 19, 21, 23, 3, 3
2023/1/22, 49, 33, 36, 23, 4, 3
2023/1/23, 63, 31, 32, 4, 1, 3
